"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition","responses"
"video-keyboard-response","91","119426","0.0-10.0-1.7","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_eye1_MUTE.mp4","",""
"audio-keyboard-response","92","121885","0.0-11.0","","","null","audio/instructions_whichpictures.wav","null","","","","","","","","",""
"html-button-response","93","122515","0.0-12.0-0.0","","","528","","","0","","","","","","","",""
"image-button-response","94","123897","0.0-12.0-1.0","","","1280.0000000000146","pal_images/fox.jpg","","1","pal_images/iconic_fox.jpg,pal_images/amb_fox.jpg","pal_images/amb_fox.jpg","test","pal","true","","2",""
"html-button-response","95","124414","0.0-12.0-0.1","","","414.99999999998545","","","0","","","","","","","",""
"image-button-response","96","125860","0.0-12.0-1.1","","","1345.0000000000146","pal_images/button.jpg","","1","pal_images/random15.jpg,pal_images/iconic_button.jpg","pal_images/iconic_button.jpg","test","pal","true","","2",""
"html-button-response","97","126393","0.0-12.0-0.2","","","430.99999999998545","","","0","","","","","","","",""
"image-button-response","98","128303","0.0-12.0-1.2","","","1809","pal_images/pizza.jpg","","0","pal_images/iconic_pizza.jpg,pal_images/random7.jpg","pal_images/iconic_pizza.jpg","test","pal","true","","2",""
"html-button-response","99","128788","0.0-12.0-0.3","","","383","","","0","","","","","","","",""
"image-button-response","100","130808","0.0-12.0-1.3","","","1917","pal_images/snake.jpg","","1","pal_images/iconic_snake.jpg,pal_images/amb_snake.jpg","pal_images/amb_snake.jpg","test","pal","true","","2",""
"html-button-response","101","131276","0.0-12.0-0.4","","","367","","","0","","","","","","","",""
"image-button-response","102","132928","0.0-12.0-1.4","","","1550","pal_images/flag.jpg","","0","pal_images/iconic_flag.jpg,pal_images/random13.jpg","pal_images/iconic_flag.jpg","test","pal","true","","2",""
"html-button-response","103","133372","0.0-12.0-0.5","","","343.0000000000291","","","0","","","","","","","",""
"image-button-response","104","135764","0.0-12.0-1.5","","","2289","pal_images/chair.jpg","","1","pal_images/iconic_chair.jpg,pal_images/amb_chair.jpg","pal_images/amb_chair.jpg","test","pal","true","","2",""
"html-button-response","105","137024","0.0-12.0-0.6","","","1159","","","0","","","","","","","",""
"image-button-response","106","138486","0.0-12.0-1.6","","","1359.000000000029","pal_images/eye.jpg","","0","pal_images/iconic_eye.jpg,pal_images/random14.jpg","pal_images/iconic_eye.jpg","test","pal","true","","2",""
"html-button-response","107","138955","0.0-12.0-0.7","","","367","","","0","","","","","","","",""
"image-button-response","108","139843","0.0-12.0-1.7","","","787","pal_images/lightning.jpg","","0","pal_images/iconic_lightning.jpg,pal_images/random12.jpg","pal_images/iconic_lightning.jpg","test","pal","true","","2",""
"audio-keyboard-response","109","145099","0.0-13.0","","","null","audio/instructions_newgame.mp3","null","","","","","","","","",""
"html-button-response","110","145676","0.0-14.0-0.0","","","475","","","0","","","","","","","",""
"video-keyboard-response","111","149280","0.0-14.0-1.0","","","null","audio/instructions_gotogethertoo.mp3","null","","","","teach","pal","","videos/cond2_newamb_boat.mp4","",""
"html-button-response","112","149909","0.0-14.0-0.1","","","527","","","0","","","","","","","",""
"video-keyboard-response","113","153513","0.0-14.0-1.1","","","null","audio/instructions_gotogethertoo.mp3","null","","","","teach","pal","","videos/cond2_newamb_table.mp4","",""
"html-button-response","114","154231","0.0-14.0-0.2","","","616.0000000000291","","","0","","","","","","","",""
"video-keyboard-response","115","157834","0.0-14.0-1.2","","","null","audio/instructions_gotogethertoo.mp3","null","","","","teach","pal","","videos/cond2_newamb_car.mp4","",""
"html-button-response","116","158771","0.0-14.0-0.3","","","835","","","0","","","","","","","",""
"video-keyboard-response","117","162374","0.0-14.0-1.3","","","null","audio/instructions_gotogethertoo.mp3","null","","","","teach","pal","","videos/cond2_iconic_bib1_MUTE.mp4","",""
"html-button-response","118","162931","0.0-14.0-0.4","","","455","","","0","","","","","","","",""
"video-keyboard-response","119","166536","0.0-14.0-1.4","","","null","audio/instructions_justafewmore.mp3","null","","","","teach","pal","","videos/cond2_newamb_tub.mp4","",""
"html-button-response","120","166991","0.0-14.0-0.5","","","353","","","0","","","","","","","",""
"video-keyboard-response","121","170595","0.0-14.0-1.5","","","null","audio/instructions_justafewmore.mp3","null","","","","teach","pal","","videos/cond2_newamb_sandbox.mp4","",""
"html-button-response","122","171143","0.0-14.0-0.6","","","446","","","0","","","","","","","",""
"video-keyboard-response","123","174747","0.0-14.0-1.6","","","null","audio/instructions_justafewmore.mp3","null","","","","teach","pal","","videos/cond2_iconic_boots1_MUTE.mp4","",""
"html-button-response","124","175198","0.0-14.0-0.7","","","349","","","0","","","","","","","",""
"video-keyboard-response","125","178803","0.0-14.0-1.7","","","null","audio/instructions_justafewmore.mp3","null","","","","teach","pal","","videos/cond2_iconic_butterfly1_MUTE.mp4","",""
"audio-keyboard-response","126","181260","0.0-15.0","","","null","audio/instructions_whichpictures.wav","null","","","","","","","","",""
"html-button-response","127","181757","0.0-16.0-0.0","","","394.9999999999709","","","0","","","","","","","",""
"image-button-response","128","182901","0.0-16.0-1.0","","","1042","pal_images/boat.jpg","","0","pal_images/amb_boat.jpg,pal_images/iconic_boat.jpg","pal_images/amb_boat.jpg","test","pal","true","","2",""
"html-button-response","129","183264","0.0-16.0-0.1","","","262","","","0","","","","","","","",""
"image-button-response","130","184330","0.0-16.0-1.1","","","965","pal_images/car.jpg","","0","pal_images/amb_car.jpg,pal_images/iconic_car.jpg","pal_images/amb_car.jpg","test","pal","true","","2",""
"html-button-response","131","184662","0.0-16.0-0.2","","","231","","","0","","","","","","","",""
"image-button-response","132","186674","0.0-16.0-1.2","","","1909","pal_images/tub.jpg","","1","pal_images/iconic_tub.jpg,pal_images/amb_tub.jpg","pal_images/amb_tub.jpg","test","pal","true","","2",""
"html-button-response","133","187578","0.0-16.0-0.3","","","803","","","0","","","","","","","",""
"image-button-response","134","190636","0.0-16.0-1.3","","","2955","pal_images/boots.jpg","","1","pal_images/random11.jpg,pal_images/iconic_boots.jpg","pal_images/iconic_boots.jpg","test","pal","true","","2",""
