"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video"
"audio-button-response","30","119213","0.0-5.0-1.6-0.6","","","null","audio/flowerrecording1.mp3","","null","","","","","",""
"audio-button-response","31","119647","0.0-5.0-1.6-1.6","","","326.87000001897104","audio/flowerrecording2.mp3","","3","pol_images/toy.jpg,pol_images/starfish.jpg,pol_images/pizza.jpg,pol_images/flower.jpg","pol_images/flower.jpg","intro","polysemy","true",""
"audio-keyboard-response","32","122756","0.0-5.0-2.6","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","33","123322","0.0-5.0-0.7","","","462.8649999795016","","","0","","","","","",""
"audio-button-response","34","125437","0.0-5.0-1.7-0.7","","","null","audio/shoerecording1.mp3","","null","","","","","",""
"audio-button-response","35","125898","0.0-5.0-1.7-1.7","","","358.36500002187677","audio/shoerecording2.mp3","","2","pol_images/teddybear.jpg,pol_images/stool.jpg,pol_images/shoe.jpg,pol_images/sandwich.jpg","pol_images/shoe.jpg","intro","polysemy","true",""
"audio-keyboard-response","36","129007","0.0-5.0-2.7","","","null","audio/answer-correct.mp3","null","","","","","","",""
"audio-keyboard-response","37","131613","0.0-6.0","","","null","audio/instructions_keepgoing.wav","null","","","","","","",""
"audio-keyboard-response","38","134898","0.0-7.0","","","null","audio/instructions_waitfull.mp3","null","","","","","","",""
"html-button-response","39","135926","0.0-8.0-0.0","","","921.730000001844","","","0","","","","","",""
"audio-button-response","40","138827","0.0-8.0-1.0","","","2770.0199999962933","audio/sheetrecording.mp3","","3","pol_images/distractor43.jpg,pol_images/distractor20.jpg,pol_images/distractor54.jpg,pol_images/sheetC.jpg","pol_images/sheetC.jpg","choose","polysemy","true",""
"html-button-response","41","139765","0.0-8.0-0.1","","","834.0949999983422","","","0","","","","","",""
"audio-button-response","42","140694","0.0-8.0-1.1","","","812.2349999903236","audio/collarrecording.mp3","","2","pol_images/distractor39.jpg,pol_images/collarA.jpg,pol_images/distractor42.jpg,pol_images/distractor53.jpg","pol_images/collarA.jpg","choose","polysemy","false",""
"html-button-response","43","141362","0.0-8.0-0.2","","","564.6699999924749","","","0","","","","","",""
